Comment,Designator,Footprint,LCSC Part #,Manufacturer,MFR.Part #,Quantity
STM32WL55CCU6,U1,QFN-48-1EP_7x7mm_P0.5mm,C2682618,STMicroelectronics,STM32WL55CCU6TR,1
0868AT43A0020E,ANT1,Johanson_0868AT43A0020E_CUSTOM,C2897287,Johanson Technology,0868AT43A0020E,1
32MHz 10pF 10ppm,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C515086,Murata,XRCGB32M000F1H00R0,1
SPH0645LM4H-B,MK1,Knowles_SPH0645LM4H-6_3.5x2.65mm,C2913165,Knowles,SPH0645LM4H-B,1
AP2112K-3.3TRG1,U5,SOT-23-5,C439908,Diodes Incorporated,AP2112K-3.3TRG1,1
MCP73831T-2ACI/OT,U2,SOT-23-5,C14703,Microchip Direct,MCP73831T-2ACI/OT,1
DW01A,U4,SOT-23-6,C42750,Fortune Semi,DW01A,1
FS8205A,Q1,SOT-23-6,C32254,Fortune Semi,FS8205A,1
DMG2305UX-7,Q2,SOT-23,C2838446,Diodes Incorporated,DMG2305UX-7,1
1N5819WS,D1,SOD-323,C8598,JCET,1N5819WS,1
Red/Blue Bi-color,D2,LED_0603_1608Metric,C209634,Kingbright,KT-0603RGBA,1
3.3nH,L1,L_0402_1005Metric,C1033,Murata,LQG15HS3N3S02D,1
47nH,L2,L_0402_1005Metric,C1038,Murata,LQG15HS47NJ02D,1
18nH,L3,L_0402_1005Metric,C1035,Murata,LQG15HS18NJ02D,1
2.2pF 50V C0G,C13,C_0402_1005Metric,C39744,Murata,GJM1555C1H2R2CB01D,1
1.5pF 50V C0G,C14,C_0402_1005Metric,C39743,Murata,GJM1555C1H1R5CB01D,1
1.5pF 50V C0G,C22,C_0402_1005Metric,C39743,Murata,GJM1555C1H1R5CB01D,1
1.5pF 50V C0G,C23,C_0402_1005Metric,C39743,Murata,GJM1555C1H1R5CB01D,1
0R 5%,R_ANT,R_0402_1005Metric,C17168,Uniroyal,0402WGF0000TCE,1
10k 1%,R1,R_0402_1005Metric,C25744,Uniroyal,0402WGF1002TCE,1
1k 1%,R6,R_0402_1005Metric,C11702,Uniroyal,0402WGF1001TCE,1
470R 1%,R7,R_0402_1005Metric,C25118,Uniroyal,0402WGF4700TCE,1
100nF 50V X7R,"C1, C2, C3, C4, C5, C7, C8, C11, C12, C15, C18",C_0402_1005Metric,C1525,Samsung,CL05B104KO5NNNC,11
1uF 25V X5R,"C9, C10, C16, C17, C20",C_0402_1005Metric,C52923,Samsung,CL05A105KA5NQNC,5
4.7uF 10V X5R,C21,C_0402_1005Metric,C19666,Samsung,CL05A475MP5NRNC,1
