Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,0868AT43A0020E,Johanson_0868AT43A0020E_CUSTOM,7.500mm,2.000mm,0.0,Top
C1,C_0402_1005Metric,C_0402_1005Metric,1.800mm,14.500mm,180.0,Top
C2,C_0402_1005Metric,C_0402_1005Metric,13.200mm,7.500mm,0.0,Top
C3,C_0402_1005Metric,C_0402_1005Metric,13.200mm,5.500mm,0.0,Top
C4,C_0402_1005Metric,C_0402_1005Metric,1.600mm,6.000mm,180.0,Top
C5,C_0402_1005Metric,C_0402_1005Metric,13.200mm,9.500mm,0.0,Top
C7,C_0402_1005Metric,C_0402_1005Metric,1.800mm,12.800mm,180.0,Top
C8,C_0402_1005Metric,C_0402_1005Metric,13.200mm,11.500mm,0.0,Top
C9,C_0402_1005Metric,C_0402_1005Metric,1.800mm,17.000mm,180.0,Top
C10,C_0402_1005Metric,C_0402_1005Metric,13.200mm,15.500mm,0.0,Top
C11,C_0402_1005Metric,C_0402_1005Metric,8.500mm,7.500mm,90.0,Top
C12,C_0402_1005Metric,C_0402_1005Metric,9.200mm,18.400mm,270.0,Top
C13,C_0402_1005Metric,C_0402_1005Metric,3.800mm,6.800mm,180.0,Top
C14,C_0402_1005Metric,C_0402_1005Metric,3.800mm,5.200mm,180.0,Top
C15,C_0402_1005Metric,C_0402_1005Metric,3.900mm,28.500mm,0.0,Top
C16,C_0402_1005Metric,C_0402_1005Metric,1.800mm,28.500mm,0.0,Top
C17,C_0402_1005Metric,C_0402_1005Metric,12.200mm,17.800mm,0.0,Top
C18,C_0402_1005Metric,C_0402_1005Metric,13.200mm,13.500mm,0.0,Top
C20,C_0402_1005Metric,C_0402_1005Metric,5.600mm,18.400mm,270.0,Top
C21,C_0402_1005Metric,C_0402_1005Metric,6.800mm,18.400mm,270.0,Top
C22,1.5pF,C_0402_1005Metric,6.650mm,6.150mm,0.0,Top
C23,1.5pF,C_0402_1005Metric,6.650mm,7.100mm,0.0,Top
D1,D_SOD-323,D_SOD-323,7.500mm,21.200mm,0.0,Top
D2,LED_LiteOn_LTST-C295K_1.6x0.8mm,LED_LiteOn_LTST-C295K_1.6x0.8mm,13.000mm,28.500mm,0.0,Top
L1,L_0402_1005Metric,L_0402_1005Metric,5.250mm,6.800mm,90.0,Top
L2,47nH,L_0402_1005Metric,4.100mm,8.250mm,0.0,Top
L3,18nH,L_0402_1005Metric,6.000mm,8.380mm,0.0,Top
MK1,Knowles_SPH0645LM4H-6_3.5x2.65mm,Knowles_SPH0645LM4H-6_3.5x2.65mm,7.500mm,28.500mm,0.0,Top
Q1,SOT-23-6,SOT-23-6,7.500mm,24.200mm,0.0,Top
Q2,SOT-23,SOT-23,12.000mm,24.200mm,0.0,Top
R1,R_0402_1005Metric,R_0402_1005Metric,7.900mm,4.200mm,0.0,Top
R6,R_0402_1005Metric,R_0402_1005Metric,10.500mm,27.500mm,0.0,Top
R7,R_0402_1005Metric,R_0402_1005Metric,10.500mm,29.200mm,0.0,Top
R_ANT,R_0402_1005Metric,R_0402_1005Metric,5.250mm,4.800mm,90.0,Top
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,7.500mm,13.000mm,180.0,Top
U2,SOT-23-5,SOT-23-5,12.000mm,20.200mm,0.0,Top
U4,SOT-23-6,SOT-23-6,3.000mm,24.200mm,0.0,Top
U5,SOT-23-5,SOT-23-5,3.000mm,20.200mm,0.0,Top
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,Crystal_SMD_2016-4Pin_2.0x1.6mm,1.600mm,9.200mm,0.0,Top
