Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","0868AT43A0020E","Johanson_0868AT43A0020E_CUSTOM",7.500000,-2.000000,0.000000,top
"C1","C_0402_1005Metric","C_0402_1005Metric",1.800000,-14.500000,180.000000,top
"C2","C_0402_1005Metric","C_0402_1005Metric",13.200000,-7.500000,0.000000,top
"C3","C_0402_1005Metric","C_0402_1005Metric",13.200000,-5.500000,0.000000,top
"C4","C_0402_1005Metric","C_0402_1005Metric",1.600000,-6.000000,180.000000,top
"C5","C_0402_1005Metric","C_0402_1005Metric",13.200000,-9.500000,0.000000,top
"C7","C_0402_1005Metric","C_0402_1005Metric",1.800000,-12.800000,180.000000,top
"C8","C_0402_1005Metric","C_0402_1005Metric",13.200000,-11.500000,0.000000,top
"C9","C_0402_1005Metric","C_0402_1005Metric",1.800000,-17.000000,180.000000,top
"C10","C_0402_1005Metric","C_0402_1005Metric",13.200000,-15.500000,0.000000,top
"C11","C_0402_1005Metric","C_0402_1005Metric",8.500000,-7.500000,90.000000,top
"C12","C_0402_1005Metric","C_0402_1005Metric",9.200000,-18.400000,-90.000000,top
"C13","C_0402_1005Metric","C_0402_1005Metric",3.800000,-6.800000,180.000000,top
"C14","C_0402_1005Metric","C_0402_1005Metric",3.800000,-5.200000,180.000000,top
"C15","C_0402_1005Metric","C_0402_1005Metric",3.900000,-28.500000,0.000000,top
"C16","C_0402_1005Metric","C_0402_1005Metric",1.800000,-28.500000,0.000000,top
"C17","C_0402_1005Metric","C_0402_1005Metric",12.200000,-17.800000,0.000000,top
"C18","C_0402_1005Metric","C_0402_1005Metric",13.200000,-13.500000,0.000000,top
"C20","C_0402_1005Metric","C_0402_1005Metric",5.600000,-18.400000,-90.000000,top
"C21","C_0402_1005Metric","C_0402_1005Metric",6.800000,-18.400000,-90.000000,top
"C22","1.5pF","C_0402_1005Metric",6.650000,-6.150000,0.000000,top
"C23","1.5pF","C_0402_1005Metric",6.650000,-7.100000,0.000000,top
"D1","D_SOD-323","D_SOD-323",7.500000,-21.200000,0.000000,top
"D2","LED_LiteOn_LTST-C295K_1.6x0.8mm","LED_LiteOn_LTST-C295K_1.6x0.8mm",13.000000,-28.500000,0.000000,top
"L1","L_0402_1005Metric","L_0402_1005Metric",5.250000,-6.800000,90.000000,top
"L2","47nH","L_0402_1005Metric",4.100000,-8.250000,0.000000,top
"L3","18nH","L_0402_1005Metric",6.000000,-8.380000,0.000000,top
"MK1","Knowles_SPH0645LM4H-6_3.5x2.65mm","Knowles_SPH0645LM4H-6_3.5x2.65mm",7.500000,-28.500000,0.000000,top
"Q1","SOT-23-6","SOT-23-6",7.500000,-24.200000,0.000000,top
"Q2","SOT-23","SOT-23",12.000000,-24.200000,0.000000,top
"R1","R_0402_1005Metric","R_0402_1005Metric",7.900000,-4.200000,0.000000,top
"R6","R_0402_1005Metric","R_0402_1005Metric",10.500000,-27.500000,0.000000,top
"R7","R_0402_1005Metric","R_0402_1005Metric",10.500000,-29.200000,0.000000,top
"R_ANT","R_0402_1005Metric","R_0402_1005Metric",5.250000,-4.800000,90.000000,top
"R_TEST","R_0402_1005Metric","R_0402_1005Metric",6.800000,-5.200000,0.000000,top
"U1","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",7.500000,-13.000000,180.000000,top
"U2","SOT-23-5","SOT-23-5",12.000000,-20.200000,0.000000,top
"U4","SOT-23-6","SOT-23-6",3.000000,-24.200000,0.000000,top
"U5","SOT-23-5","SOT-23-5",3.000000,-20.200000,0.000000,top
"Y1","Crystal_SMD_2016-4Pin_2.0x1.6mm","Crystal_SMD_2016-4Pin_2.0x1.6mm",1.600000,-9.200000,0.000000,top
